,kingdom,phylum,class,order,family,genus,species,key
1,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia saligna,2978552
2,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres tristis,2489005
3,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima,3190653
4,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,Alopochen aegyptiaca,2498252
5,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera philoxeroides,3084923
6,Animalia,Chordata,,Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas,2340977
7,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,Andropogon virginicus,2706080
8,Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Arthurdendyus,Arthurdendyus triangulatus,2502792
9,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias syriaca,3170247
10,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,2440934
11,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis halimifolia,3129663
12,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Cabombaceae,Cabomba,Cabomba caroliniana,2882443
13,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,Callosciurus erythraeus,2437394
14,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,Callosciurus finlaysonii,2437399
15,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Cardiospermum,Cardiospermum grandiflorum,3189935
16,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus setaceus,5828232
17,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus splendens,2482499
18,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Ehrharta,Ehrharta calycina,2702865
19,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Elodea,Elodea nuttallii,5329212
20,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir,Eriocheir sinensis,2225776
21,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,Faxonius limosus,8909595
22,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,Faxonius rusticus,8979506
23,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,Faxonius virilis,8971201
24,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,5712056
25,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,2350580
26,Animalia,Chordata,,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia holbrooki,2350570
27,Plantae,Tracheophyta,Magnoliopsida,Gunnerales,Gunneraceae,Gunnera,Gunnera tinctoria,2984306
28,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gymnocoronis,Gymnocoronis spilanthoides,6063677
29,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Hakea,Hakea sericea,7287606
30,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum mantegazzianum,3034825
31,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum persicum,3628745
32,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum sosnowskyi,3642949
33,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus scandens,2984537
34,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle ranunculoides,7978544
35,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,2891770
36,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Koenigia,Koenigia polystachya,8848208
37,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Lagarosiphon,Lagarosiphon major,2865565
38,Animalia,Chordata,Squamata,,Colubridae,Lampropeltis,Lampropeltis getula,9799308
39,Animalia,Chordata,,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus,2394486
40,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lespedeza,Lespedeza cuneata,8114276
41,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,2427091
42,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia grandiflora,5421039
43,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia peploides,5420991
44,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Lygodiaceae,Lygodium,Lygodium japonicum,2650436
45,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lysichiton,Lysichiton americanus,2869311
46,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Microstegium,Microstegium vimineum,5289808
47,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus reevesi,2440946
48,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor,Myocastor coypus,4264680
49,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum aquaticum,5361785
50,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum heterophyllum,5361762
51,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,2433536
52,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis juliflora,5358460
53,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides,2434552
54,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus,5219858
55,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,2498305
56,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus,Pacifastacus leniusculus,2226990
57,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,3086784
58,Animalia,Chordata,,Perciformes,Odontobutidae,Perccottus,Perccottus glenii,2390064
59,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria perfoliata,4033648
60,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes,2870583
61,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,Pontederia,Pontederia crassipes,2765942
62,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,Procambarus clarkii,2227300
63,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,Procambarus virginalis,9442269
64,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,5218786
65,Animalia,Chordata,,Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva,2362868
66,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,2486131
67,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Rugulopteryx,Rugulopteryx okamurae,5824863
68,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Salvinia,Salvinia molesta,5274863
69,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,5219681
70,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,5219683
71,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,5035230
72,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias sibiricus,2437450
73,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis aethiopicus,2480764
74,Animalia,Chordata,Testudines,,Emydidae,Trachemys,Trachemys scripta,2443002
75,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Triadica,Triadica sebifera,3054399
76,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,1315391
77,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,5217334
