"","kingdom","phylum","class","order","family","genus","species"
"1","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia saligna"
"2","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres tristis"
"3","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima"
"4","Animalia","Chordata","Aves","Anseriformes","Anatidae","Alopochen","Alopochen aegyptiaca"
"5","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera philoxeroides"
"6","Animalia","Chordata","","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas"
"7","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Andropogon","Andropogon virginicus"
"8","Animalia","Platyhelminthes","","Tricladida","Geoplanidae","Arthurdendyus","Arthurdendyus triangulatus"
"9","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca"
"10","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Axis","Axis axis"
"11","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis halimifolia"
"12","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana"
"13","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus erythraeus"
"14","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus finlaysonii"
"15","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Cardiospermum","Cardiospermum grandiflorum"
"16","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus"
"17","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus splendens"
"18","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Ehrharta","Ehrharta calycina"
"19","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii"
"20","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Eriocheir","Eriocheir sinensis"
"21","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus"
"22","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius rusticus"
"23","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius virilis"
"24","Animalia","Chordata","","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus"
"25","Animalia","Chordata","","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"26","Animalia","Chordata","","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki"
"27","Plantae","Tracheophyta","Magnoliopsida","Gunnerales","Gunneraceae","Gunnera","Gunnera tinctoria"
"28","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gymnocoronis","Gymnocoronis spilanthoides"
"29","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","Hakea","Hakea sericea"
"30","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum mantegazzianum"
"31","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum persicum"
"32","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum sosnowskyi"
"33","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus scandens"
"34","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Hydrocotyle","Hydrocotyle ranunculoides"
"35","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","Impatiens glandulifera"
"36","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Koenigia","Koenigia polystachya"
"37","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Lagarosiphon","Lagarosiphon major"
"38","Animalia","Chordata","Squamata","","Colubridae","Lampropeltis","Lampropeltis getula"
"39","Animalia","Chordata","","Perciformes","Centrarchidae","Lepomis","Lepomis gibbosus"
"40","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lespedeza","Lespedeza cuneata"
"41","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus"
"42","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia grandiflora"
"43","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peploides"
"44","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","Lygodium","Lygodium japonicum"
"45","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Lysichiton","Lysichiton americanus"
"46","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Microstegium","Microstegium vimineum"
"47","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus","Muntiacus reevesi"
"48","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","Myocastor","Myocastor coypus"
"49","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum aquaticum"
"50","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum"
"51","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","Nasua nasua"
"52","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Prosopis","Prosopis juliflora"
"53","Animalia","Chordata","Mammalia","Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides"
"54","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Ondatra","Ondatra zibethicus"
"55","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis"
"56","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Pacifastacus","Pacifastacus leniusculus"
"57","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Parthenium","Parthenium hysterophorus"
"58","Animalia","Chordata","","Perciformes","Odontobutidae","Perccottus","Perccottus glenii"
"59","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria perfoliata"
"60","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Pistia","Pistia stratiotes"
"61","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","Pontederia","Pontederia crassipes"
"62","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Procambarus","Procambarus clarkii"
"63","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Procambarus","Procambarus virginalis"
"64","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor"
"65","Animalia","Chordata","","Cypriniformes","Cyprinidae","Pseudorasbora","Pseudorasbora parva"
"66","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus cafer"
"67","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Rugulopteryx","Rugulopteryx okamurae"
"68","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Salvinia","Salvinia molesta"
"69","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus carolinensis"
"70","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus niger"
"71","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis invicta"
"72","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias sibiricus"
"73","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus"
"74","Animalia","Chordata","Testudines","","Emydidae","Trachemys","Trachemys scripta"
"75","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Triadica","Triadica sebifera"
"76","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Wasmannia","Wasmannia auropunctata"
"77","Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis"
